Order,Family,Family_English_name,Scientific_name,English_name_AviList,Range,IUCN_Red_List_Category,Species_code_Cornell_Lab
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Thripophaga macroura,Striated Softtail,locally in eastern Brazil (southern Bahia to Espírito Santo and northern Rio de Janeiro),VU,strsof1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Thripophaga cherriei,Orinoco Softtail,upper Río Orinoco in eastern Colombia (eastern Vichada and eastern Guainía) and western Venezuela (northwestern Amazonas),VU,orisof1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Thripophaga amacurensis,Delta Amacuro Softtail,northeastern Venezuela (southern portion of the Río Orinoco delta),VU,deasof1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Thripophaga fusciceps,Plain Softtail,,LC,plasof1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Limnoctites rectirostris,Straight-billed Reedhaunter,far southern Brazil to southern Uruguay and eastern Argentina,NT,stbree2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,southern Brazil (Rio Grande do Sul) to Uruguay and eastern Argentina,LC,sutspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca berlepschi,Russet-mantled Softtail,Andes of northern Peru (Amazonas to La Libertad),NT,rumsof1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca marcapatae,Marcapata Spinetail,Andes of southeastern Peru (Cusco),LC,marspi4
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca weskei,Vilcabamba Spinetail,Andes of south-central Peru (Mantaro Valley in Junín southward to Cordillera Vilcabamba in Cusco),LC,marspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca albiceps,Light-crowned Spinetail,,LC,licspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca vulpina,Rusty-backed Spinetail,,LC,rubspi4
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca dissita,Coiba Spinetail,Coiba Island (Panama),LC,rubspi5
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca vulpecula,Parker's Spinetail,river islands in Amazon system from eastern Brazil to eastern Peru,LC,parspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca subcristata,Crested Spinetail,,LC,crespi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca pyrrhophia,Stripe-crowned Spinetail,,LC,stcspi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca henricae,Bolivian Spinetail,Andes of northern Bolivia (Río La Paz drainage system),VU,bolspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca obsoleta,Olive Spinetail,eastern Paraguay to southeastern Brazil (São Paulo) and northeastern Argentina,LC,olispi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca pallida,Pallid Spinetail,mountains of southeastern Brazil (Brasília to Espírito Santo and southeastern São Paulo),LC,palspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca semicinerea,Grey-headed Spinetail,"eastern Brazil from Ceará and Alagoas southward to southern Goiás, extreme northern Minas Gerais, and Bahia",LC,gyhspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca albicapilla,Creamy-crested Spinetail,,LC,crcspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca erythrops,Red-faced Spinetail,,LC,refspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca demissa,Tepui Spinetail,,LC,tepspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca hellmayri,Streak-capped Spinetail,Santa Marta Mountains (northeastern Colombia),LC,stcspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca curtata,Ash-browed Spinetail,,LC,asbspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca antisiensis,Line-cheeked Spinetail,,LC,licspi5
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cranioleuca muelleri,Scaled Spinetail,lower Amazonian Brazil and Mexiana Island,LC,scaspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudasthenes humicola,Dusky-tailed Canastero,,LC,dutcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudasthenes patagonica,Patagonian Canastero,southern Argentina (Mendoza southward to northern Santa Cruz),LC,patcan2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudasthenes steinbachi,Steinbach's Canastero,Andes of western Argentina (western Salta to Mendoza),LC,stecan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudasthenes cactorum,Cactus Canastero,northwestern to southwestern Peru,LC,caccan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Mazaria propinqua,White-bellied Spinetail,river islands in Amazon basin (the Guianas to Bolivia),LC,whbspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Schoeniophylax phryganophilus,Chotoy Spinetail,,LC,chospi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Certhiaxis mustelinus,Red-and-white Spinetail,far southeastern Colombia to eastern Peru and Amazonian Brazil,LC,rawspi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Certhiaxis cinnamomeus,Yellow-chinned Spinetail,,LC,yecspi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Synallaxis scutata,Ochre-cheeked Spinetail,,LC,occspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Synallaxis cinerascens,Grey-bellied Spinetail,"eastern Paraguay to southeastern Brazil, northern Uruguay, and northeastern Argentina",LC,gybspi1
